Fecha,ralenti_total_h,ralenti_h_sim,reduccion,viajes_dia,dist_total_dia,unidades_activas,weekday,month,pred
2025-05-22,1297.4715860215051,1317.590633213859,-20.11904719235372,333,333,128,3,5,1237.8361820990265
2025-05-23,1059.2718817204302,1067.2284550477898,-7.956573327359592,291,291,123,4,5,1059.3722699146572
2025-05-24,1176.933817204301,1190.0878082437275,-13.1539910394265,275,275,110,5,5,1048.8098415002942
2025-05-25,742.432123655914,758.3197729988052,-15.887649342891224,229,229,105,6,5,715.3061475482165
2025-05-26,1225.4708512544803,1238.5389165173235,-13.068065262843447,413,413,143,0,5,1208.8658483979666
2025-05-27,1220.526559139785,1237.686654719235,-17.1600955794504,310,310,124,1,5,1163.1695071235329
2025-05-28,1297.2865501792114,1307.8178800776584,-10.531329898446984,352,352,148,2,5,1258.6860570685783
2025-05-29,1183.6242562724017,1194.2931266427718,-10.668870370370314,291,291,120,3,5,1120.6895487263655
2025-05-30,1096.0547670250896,1108.1762204301076,-12.121453405017974,304,304,139,4,5,1107.7505648945255
2025-05-31,1110.8054211469534,1126.5871652372418,-15.781744090288385,315,315,129,5,5,1133.8125338970526
2025-06-01,528.295962962963,542.7937810633214,-14.49781810035836,177,177,89,6,6,529.822283724133
2025-06-02,949.299712962963,963.6015888590204,-14.301875896057368,343,343,127,0,6,992.3644734155504
2025-06-03,1110.1617962962962,1129.8527084826762,-19.690912186380046,378,378,139,1,6,1157.2796510089688
2025-06-04,1262.6557962962963,1269.4743164575866,-6.81852016129028,376,376,131,2,6,1235.5803157385797
2025-06-05,982.240351851852,999.3195074671446,-17.079155615292734,297,297,122,3,6,1019.740946192339
2025-06-06,1088.203712962963,1090.852960424134,-2.649247461170944,314,314,136,4,6,1107.0382727943506
2025-06-07,1116.590064814815,1133.8179170293563,-17.2278522145416,310,310,126,5,6,1104.8458285280317
2025-06-08,567.3501111111111,574.0419510795358,-6.691839968424688,174,174,97,6,6,559.6782288776258
2025-06-09,829.6077407407407,843.1187102747909,-13.510969534050218,294,294,116,0,6,868.0540707629636
2025-06-10,1394.63725,1407.794829450418,-13.157579450418098,367,367,142,1,6,1298.7897709779163
2025-06-11,1213.5411851851852,1222.7900079791773,-9.248822793992076,346,346,127,2,6,1195.4079299893128
2025-06-12,1194.4586944444443,1217.5277780764636,-23.0690836320191,366,366,136,3,6,1182.3243510654954
2025-06-13,1111.9494814814816,1130.252508363202,-18.30302688172037,330,330,121,4,6,1115.9920204371106
2025-06-14,1242.3949814814814,1276.728617980884,-34.3336364994027,394,394,126,5,6,1237.7502400048445
2025-06-15,349.7920740740741,359.81179734169655,-10.019723267622451,154,154,69,6,6,380.9730782898802
2025-06-16,917.6811111111112,930.0895456989248,-12.408434587813533,300,300,132,0,6,951.1465231927336
2025-06-17,1236.982,1258.5238018219832,-21.5418018219832,393,393,139,1,6,1236.9704427838262
2025-06-18,1271.0599074074073,1282.148877538829,-11.088970131421776,373,373,134,2,6,1230.8435451746618
2025-06-19,1189.79125,1203.6309620669056,-13.839712066905577,362,362,132,3,6,1193.597244034819
2025-06-20,1345.6492777777778,1359.0614540023894,-13.412176224611583,390,390,144,4,6,1300.4654113584938
2025-06-21,1047.8445648148147,1054.7505642174433,-6.905999402628595,316,316,128,5,6,1082.5033432570287
2025-06-22,535.3600185185185,540.3649436337259,-5.00492511520747,180,180,77,6,6,531.8128257000302
2025-06-23,1110.0711851851852,1116.5587525388291,-6.4875673536439535,346,346,139,0,6,1100.7606513146184
2025-06-24,1178.940916666667,1201.3242632168458,-22.383346550179112,391,391,125,1,6,1195.9120348887682
2025-06-25,1128.177527777778,1149.0920766129032,-20.914548835125288,368,368,135,2,6,1188.1546535597342
2025-06-26,1110.7425648148148,1138.411148116146,-27.668583301331186,361,361,124,3,6,1147.209011934522
2025-06-27,1124.1510277777777,1138.9382162271718,-14.78718844939408,347,347,134,4,6,1154.097015995006
2025-06-28,1074.1321574074077,1084.8314493727598,-10.69929196535236,321,321,132,5,6,1111.423770077717
2025-06-29,648.751175925926,661.9752747802526,-13.224098854326598,234,234,101,6,6,664.5218361016969
