Ruta,n_obs,var_time,std_time,median_time,mean_time,q25,q75,tiempo_ideal,buffer_recomendado,mean_time_safe,CV,Es_Critica
WM CEDIS CHALCO/PATIO HUB MORELOS,61,1657.0131147540976,40.7064259638954,1.0,20.229508196721312,0.0,1.0,1.0,53.10422523378611,20.229508196721312,2.012230132737131,False
WM CEDIS CHALCO/PATIO MAVERICK,53,5726.809869375906,75.67568876049894,0.0,15.18867924528302,0.0,1.0,0.0,96.86488161343864,15.18867924528302,4.9823745395111105,False
WM CEDIS CHALCO/PATIO TIP PERAL,43,48566.16611295681,220.3773266762187,60.0,112.02325581395348,3.0,120.5,60.0,342.08297814555993,112.02325581395348,1.967246221108035,False
WM CEDIS CHALCO/PEPSICO SMO,80,9009.90743670886,94.92053221884537,1.0,38.9375,0.0,2.0,1.0,122.49828124012208,38.9375,2.437766477530539,False
WM CEDIS CHALCO/SAMS CLUB CD JARDIN,129,1860.43144379845,43.13271894743536,0.0,14.589147286821705,0.0,1.0,0.0,55.20988025271727,14.589147286821705,2.95649348789541,False
WM CEDIS CHALCO/SAMS CLUB CUAUTLA,318,36699.2330714442,191.5704389289856,0.0,36.78930817610063,0.0,1.0,0.0,245.2101618291016,36.78930817610063,5.207231351347757,False
WM CEDIS CHALCO/SAMS CLUB CUEMANCO,61,1891.6426229508204,43.4930180942967,0.0,18.39344262295082,0.0,1.0,0.0,55.67106316069978,18.39344262295082,2.364593675358377,False
WM CEDIS CHALCO/SAMS CLUB EL MOLINITO,247,3116.0581942661547,55.82166420186839,0.0,18.05263157894737,0.0,1.0,0.0,71.45173017839154,18.05263157894737,3.0921621569548083,False
WM CEDIS CHALCO/SAMS CLUB HIPERPLAZA TEXCOCO,107,834.7501322518074,28.892042715111156,0.0,8.607476635514018,0.0,1.0,0.0,36.98181467534228,8.607476635514018,3.356621683514543,False
WM CEDIS CHALCO/SAMS CLUB IXTAPALUCA,89,4592.222931562819,67.76594226868552,0.0,19.415730337078653,0.0,1.0,0.0,86.74040610391746,19.415730337078653,3.490259758051511,False
WM CEDIS CHALCO/SAMS CLUB PLAZA ORIENTE,72,1006.2157668231616,31.72090425607633,0.0,10.40277777777778,0.0,1.0,0.0,40.60275744777771,10.40277777777778,3.049272505257003,False
WM CEDIS CHALCO/SAMS CLUB TEHUACAN,159,12535875.811878037,3540.6038767247087,0.0,319.685534591195,0.0,1.0,0.0,4531.972962207628,319.685534591195,11.075270832170542,True
WM CEDIS CHALCO/SAMS CLUB ZARAGOZA,68,4815.519534679542,69.39394451016271,0.0,17.63235294117647,0.0,1.0,0.0,88.82424897300827,17.63235294117647,3.9356031915688607,False
WM CEDIS CHALCO/TIP MEXICO CONVENTO,24,2654.695652173913,51.52373872472681,60.0,79.5,60.0,120.0,60.0,125.95038556765032,79.5,0.6480973424493939,False
WM CEDIS CHALCO/WM AEROPUERTO,38,1246.6714082503554,35.30823428395075,0.5,14.63157894736842,0.0,1.0,0.5,45.69453988345696,14.63157894736842,2.4131527028599438,False
WM CEDIS CHALCO/WM AGUSTIN LARA,227,8827871.065845387,2971.1733483331777,0.0,221.66079295154185,0.0,1.0,0.0,3803.101885866468,221.66079295154185,13.404144723883208,True
WM CEDIS CHALCO/WM ARCOS TLACHICHUCA,48,1348.666223404255,36.724191255959,0.0,13.8125,0.0,1.0,0.0,47.00696480762752,13.8125,2.658764977806986,False
WM CEDIS CHALCO/WM BODEGA REMOTA AYOTLA,109,36248235.67465171,6020.650768368127,60.0,922.559633027523,60.0,61.0,60.0,7766.432983511202,922.559633027523,6.526028836326194,False
WM CEDIS CHALCO/WM BODEGA REMOTA CHALCO,2856,34972639910.68892,187009.73212827437,1.0,3620.230742296919,0.0,1.0,1.0,239373.4571241912,3620.230742296919,51.656854338964806,True
WM CEDIS CHALCO/WM CEDIS CHALCO,102,24790.648126577376,157.4504624527263,0.5,28.186274509803923,0.0,1.0,0.5,202.03659193948965,28.186274509803923,5.5860685809315065,False
WM CEDIS CHALCO/WM CHALCO 2000,84,26883.574727481348,163.96211369545512,0.0,30.05952380952381,0.0,1.0,0.0,209.87150553018256,30.05952380952381,5.454581208086427,False
WM CEDIS CHALCO/WM COYUCA GRO,26,4488.486153846154,66.99616521746714,0.5,17.615384615384617,0.0,1.0,0.5,86.25509147835794,17.615384615384617,3.803275754703374,False
WM CEDIS CHALCO/WM EL MOLINITO,212,8812158.30653671,2968.5279696402918,0.0,234.6981132075472,0.0,1.0,0.0,3799.715801139573,234.6981132075472,12.64828220845208,True
WM CEDIS CHALCO/WM HIPERPLAZA TEXCOCO,46,1570.4096618357494,39.62839464116291,0.0,18.65217391304348,0.0,1.0,0.0,50.72434514068853,18.65217391304348,2.1245992464959134,False
WM CEDIS CHALCO/WM HORIZONTE,26,1602.5415384615387,40.031756624729056,0.5,16.692307692307693,0.0,1.0,0.5,51.7406484796532,16.692307692307693,2.3982158346611877,False
WM CEDIS CHALCO/WM LOS ATRIOS CUAUTLA,131,18144.545977686423,134.70169255687333,0.0,29.709923664122137,0.0,1.0,0.0,172.41816647279785,29.709923664122137,4.533895612782735,False
WM CEDIS CHALCO/WM PERIFERICO SUR,28,992.7023809523808,31.507179831784068,0.0,8.964285714285714,0.0,1.0,0.0,40.32919018468361,8.964285714285714,3.514745160517745,False
WM CEDIS CHALCO/WM PLAZA EL PASEO,181,15746.34039287907,125.48442290929609,0.0,23.265193370165747,0.0,1.0,0.0,160.62006132389897,23.265193370165747,5.393654843643455,False
WM CEDIS CHALCO/WM PLAZA ORIENTE,31,27958.0623655914,167.20664569804455,0.0,55.064516129032256,0.0,31.0,0.0,214.02450649349703,55.064516129032256,3.0365588849674174,False
WM CEDIS CHALCO/WM PUERTA TEXCOCO,33,999.371212121212,31.61283302902813,0.0,11.393939393939394,0.0,1.0,0.0,40.464426277156015,11.393939393939394,2.7745305583987454,False
WM CEDIS CHALCO/WM SAN MARTIN TEXMELUCAN,69,33767.39428815004,183.7590658665581,1.0,37.7536231884058,0.0,1.0,1.0,236.2116043091944,37.7536231884058,4.867322665947221,False
WM CEDIS CHALCO/WM TECPAN DE GALEANA,33,23343.80871212121,152.78680804349966,1.0,60.60606060606061,0.0,4.0,1.0,196.5671142956796,60.60606060606061,2.520982332717744,False
WM CEDIS CHALCO/WM TLAHUAC,32,2303.512096774194,47.99491740563988,1.0,22.1875,0.0,2.0,1.0,62.43349427921905,22.1875,2.163151207014755,False
WM CEDIS CHALCO/WM TLALPAN,43,16954.666666666668,130.21008665486198,0.0,28.0,0.0,1.0,0.0,166.66891091822333,28.0,4.650360237673643,False
WM CEDIS CHALCO/WM VICENTE GUERRERO,20,14243.252631578947,119.34509890053695,0.5,38.9,0.0,1.0,0.5,153.2617265926873,38.9,3.067997401042081,False
WM CEDIS CHALCO/WM VILLA COAPA,60,1373.857627118644,37.06558548193518,0.0,14.2,0.0,1.0,0.0,47.44394941687703,14.2,2.6102524987278297,False
WM CEDIS CHALCO/WM VISTA HERMOSA,46,45553.30241545896,213.43219629535503,0.0,42.17391304347826,0.0,1.0,0.0,273.1932112580544,42.17391304347826,5.060763417312542,False
WM CEDIS CHIHUAHUA/WM CEDIS MEGAPARK IDC,30,313980.0103448276,560.3391922263047,2281.5,2421.7,2049.0,2770.0,2281.5,2998.73416604967,2421.7,0.23138257927336364,False
WM CEDIS CULIACAN/WM CEDIS MEGAPARK,62,391874.5883130619,625.9988724535068,1969.5,2173.6612903225805,1760.25,2460.0,1969.5,2770.778556740489,2173.6612903225805,0.28799283275666465,False
WM CEDIS LA LUZ/WM CEDIS MEGAPARK IDC,103,14848.696554349894,121.85522784989529,34.0,71.58252427184466,25.0,63.5,34.0,189.97469164786597,71.58252427184466,1.702304146011015,False
WM CEDIS MEGAPARK/WM CEDIS CHIHUAHUA,32,579380.1602822581,761.1702570924971,2110.0,2262.03125,1883.25,2344.75,2110.0,3084.297929078396,2262.03125,0.33649855946618645,False
WM CEDIS MEGAPARK/WM CEDIS CULIACAN,63,166041.83154121862,407.4823082554856,1611.0,1659.4444444444443,1412.5,1852.0,1611.0,2132.5773545670218,1659.4444444444443,0.24555344990287048,False
WM CEDIS MEGAPARK/WM CEDIS GUADALAJARA,81,452868.734567901,672.955224786836,717.0,870.8765432098766,620.0,821.0,717.0,1578.38268772715,870.8765432098766,0.7727332077477455,False
WM CEDIS MEGAPARK/WM CEDIS LA LUZ,99,19338857.07792208,4397.596738892969,40.0,563.2727272727273,30.0,60.0,40.0,5668.923825783001,563.2727272727273,7.807224681701528,True
WM CEDIS MEGAPARK/WM CEDIS MID TEYA,40,788131.5666666667,887.7677436507066,2119.5,2374.85,1885.25,2592.5,2119.5,3255.8427118729046,2374.85,0.37382055441426054,False
WM CEDIS MEGAPARK/WM CEDIS MONTERREY,69,27355363.58738278,5230.235519303388,1217.0,2039.9710144927533,996.0,1573.0,1217.0,7911.701464708337,2039.9710144927533,2.5638773698968005,False
WM CEDIS MEGAPARK/WM CEDIS SANTA BARBARA,32,1185.8991935483868,34.43688710595641,32.5,43.8125,25.75,43.5,32.5,76.5792154956242,43.8125,0.7860059824469365,False
WM CEDIS MEGAPARK/WM CEDIS VILLAHERMOSA,38,441181.37197724025,664.2148537764269,1202.0,1374.078947368421,1027.0,1430.0,1202.0,2052.1950128338267,1374.078947368421,0.48338914954523077,False
WM CEDIS MID TEYA/ SMURFFIT KAPPA,186,2349675.5601278697,1532.865147404647,2880.0,2560.913978494624,1918.75,2881.0,2880.0,4842.067388677948,2560.913978494624,0.5985617479840957,False
WM CEDIS MID TEYA/AURRERA MONTEJO,318,13338471.724738602,3652.187252146117,60.0,437.2704402515723,34.25,61.0,60.0,4734.799682747029,437.2704402515723,8.352239062958212,True
WM CEDIS MID TEYA/BODEGA AURRERA CHETUMAL,182,11017627.187177457,3319.28112505968,375.5,600.1978021978022,60.0,480.0,375.5,4624.179840076391,600.1978021978022,5.530312028643138,False
WM CEDIS MID TEYA/BODEGA AURRERA NICHUPTE,27,30154.5584045584,173.65067925164703,300.0,232.40740740740745,1.0,360.0,300.0,522.2728694421082,232.40740740740745,0.7471822055449353,False
WM CEDIS MID TEYA/BODEGA AURRERA PLAYA MAYA 3670,50,106793.47959183672,326.7927165526134,362.0,426.1,327.5,425.75,362.0,780.2946771873451,426.1,0.7669390203065323,False
WM CEDIS MID TEYA/BODEGA AURRERA QUETZALCOATL,72,28231216.000000007,5313.305562453566,60.0,795.5,31.5,60.0,60.0,6861.031119940565,795.5,6.679202466943515,True
WM CEDIS MID TEYA/BODEGA AURRERA TALLERES,20,58271.50263157895,241.39491011945333,360.0,375.15,316.5,384.0,360.0,668.9854849529003,375.15,0.6434623753683949,False
